Time,Open,High,Low,Close,Volume
18.03.2015 00:32:00.000,1.05981,1.05981,1.05980,1.05981,25870000.8392
18.03.2015 00:33:00.000,1.05981,1.05981,1.05980,1.05980,14239999.7711
18.03.2015 00:34:00.000,1.05979,1.05980,1.05979,1.05980,17770000.4578
18.03.2015 00:35:00.000,1.05978,1.05999,1.05973,1.05999,83849998.4741
18.03.2015 00:36:00.000,1.05997,1.05999,1.05994,1.05998,51189998.6267
18.03.2015 00:37:00.000,1.05999,1.06006,1.05998,1.06005,28709999.0845
18.03.2015 00:38:00.000,1.06005,1.06023,1.06005,1.06020,47419998.1689
18.03.2015 00:39:00.000,1.06020,1.06020,1.06009,1.06018,41209999.0845
18.03.2015 00:40:00.000,1.06019,1.06022,1.06009,1.06020,52430000.3052
18.03.2015 00:41:00.000,1.06020,1.06040,1.06019,1.06030,105540000.9155
18.03.2015 00:42:00.000,1.06029,1.06040,1.06029,1.06030,64709999.0845
18.03.2015 00:43:00.000,1.06030,1.06031,1.06028,1.06031,18579999.9237
18.03.2015 00:44:00.000,1.06031,1.06031,1.06029,1.06030,11500000.0000
18.03.2015 00:45:00.000,1.06030,1.06030,1.06019,1.06019,27700000.7629
18.03.2015 00:46:00.000,1.06020,1.06030,1.06009,1.06009,50189998.6267
18.03.2015 00:47:00.000,1.06009,1.06010,1.06008,1.06008,19250000.0000
18.03.2015 00:48:00.000,1.06008,1.06008,1.06007,1.06008,15449999.8093
18.03.2015 00:49:00.000,1.06008,1.06021,1.06008,1.06021,64480003.3569
18.03.2015 00:50:00.000,1.06022,1.06038,1.06018,1.06031,105269996.6431
18.03.2015 00:51:00.000,1.06032,1.06037,1.06031,1.06032,39950000.7629
18.03.2015 00:52:00.000,1.06034,1.06041,1.06030,1.06040,41849998.4741
18.03.2015 00:53:00.000,1.06039,1.06048,1.06032,1.06046,66430000.3052
18.03.2015 00:54:00.000,1.06046,1.06079,1.06040,1.06061,131809997.5586
18.03.2015 00:55:00.000,1.06070,1.06086,1.06065,1.06080,74779998.7793
18.03.2015 00:56:00.000,1.06080,1.06086,1.06069,1.06069,76870002.7466
18.03.2015 00:57:00.000,1.06068,1.06069,1.06058,1.06058,32189998.6267
18.03.2015 00:58:00.000,1.06058,1.06070,1.06058,1.06061,59939998.6267
18.03.2015 00:59:00.000,1.06061,1.06061,1.06058,1.06059,15939999.5804
18.03.2015 01:00:00.000,1.06057,1.06058,1.06048,1.06050,45669998.1689
18.03.2015 01:01:00.000,1.06052,1.06054,1.06051,1.06051,31319999.6948
18.03.2015 01:02:00.000,1.06048,1.06048,1.06036,1.06036,45409999.8474
18.03.2015 01:03:00.000,1.06037,1.06052,1.06037,1.06052,48020000.4578
18.03.2015 01:04:00.000,1.06050,1.06114,1.06044,1.06110,131149993.8965
18.03.2015 01:05:00.000,1.06100,1.06117,1.06093,1.06108,164850006.1035
18.03.2015 01:06:00.000,1.06107,1.06107,1.06071,1.06081,124239997.8638
18.03.2015 01:07:00.000,1.06082,1.06085,1.06081,1.06085,16870000.8392
18.03.2015 01:08:00.000,1.06085,1.06110,1.06085,1.06098,63299999.2371
18.03.2015 01:09:00.000,1.06098,1.06098,1.06084,1.06088,34849998.4741
18.03.2015 01:10:00.000,1.06088,1.06100,1.06079,1.06100,36279998.7793
18.03.2015 01:11:00.000,1.06102,1.06111,1.06099,1.06101,43439998.6267
18.03.2015 01:12:00.000,1.06101,1.06113,1.06101,1.06112,68970001.2207
18.03.2015 01:13:00.000,1.06112,1.06129,1.06112,1.06122,46880001.0681
18.03.2015 01:14:00.000,1.06121,1.06134,1.06119,1.06119,88480003.3569
18.03.2015 01:15:00.000,1.06119,1.06119,1.06105,1.06105,42889999.3896
18.03.2015 01:16:00.000,1.06104,1.06117,1.06096,1.06117,60380001.0681
18.03.2015 01:17:00.000,1.06115,1.06119,1.06109,1.06117,65010002.1362
18.03.2015 01:18:00.000,1.06118,1.06118,1.06108,1.06111,24329999.9237
18.03.2015 01:19:00.000,1.06112,1.06117,1.06105,1.06109,56279998.7793
18.03.2015 01:20:00.000,1.06110,1.06112,1.06109,1.06110,37040000.9155
18.03.2015 01:21:00.000,1.06109,1.06112,1.06105,1.06109,41569999.6948
